fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-06-30,2023-07-14,9.28,8.46,0.82,9.6927
2023-03-31,2023-04-14,7.93,7.76,0.17,2.1907
2022-12-31,2023-01-13,8.93,8.11,0.82,10.111
2022-09-30,2022-10-13,9.55,7.07,2.48,35.0778
2022-06-30,2022-07-15,7.36,7.9,-0.54,-6.8354
2022-03-31,2022-04-13,9.52,8.75,0.77,8.8
2021-12-31,2022-01-14,10.42,10.16,0.26,2.5591
2021-09-30,2021-10-13,10.95,9.35,1.6,17.1123
2021-06-30,2021-07-14,10.03,9.46,0.57,6.0254
2021-03-31,2021-04-15,7.77,7.64,0.13,1.7016
2020-12-31,2021-01-14,10.18,9.14,1.04,11.3786
2020-09-30,2020-10-13,9.22,7.8,1.42,18.2051
2020-06-30,2020-07-17,7.85,6.99,0.86,12.3033
2020-03-31,2020-04-16,6.6,6.36,0.24,3.7736
2019-12-31,2020-01-15,8.34,7.69,0.65,8.4525
2019-09-30,2019-10-15,7.15,6.96,0.19,2.7299
2019-06-30,2019-07-19,6.41,6.5,-0.09,-1.3846
2019-03-31,2019-04-16,6.61,6.13,0.48,7.8303
2018-12-31,2019-01-16,6.08,6.27,-0.19,-3.0303
2018-09-30,2018-10-16,7.52,6.84,0.68,9.9415
2018-06-30,2018-07-16,6.66,6.55,0.11,1.6794
2018-03-31,2018-04-12,6.7,6.39,0.31,4.8513
2017-12-31,2018-01-12,6.24,6.02,0.22,3.6545
2017-09-30,2017-10-11,5.92,5.56,0.36,6.4748
2017-06-30,2017-07-17,5.24,5.4,-0.16,-2.963
2017-03-31,2017-04-19,4.76,4.89,-0.13,-2.6585
2016-12-31,2017-01-13,5.14,5.02,0.12,2.3904
2016-09-30,2016-10-18,5.14,5,0.14,2.8
2016-06-30,2016-07-14,4.78,4.78,0,0
2016-03-31,2016-04-14,4.25,4.29,-0.04,-0.9324
2015-12-31,2016-01-15,4.75,4.8,-0.05,-1.0417
2015-09-30,2015-10-14,5,4.57,0.43,9.4092
2015-06-30,2015-07-15,4.96,4.8,0.16,3.3333
2015-03-31,2015-04-16,4.89,4.52,0.37,8.1858
2014-12-31,2015-01-15,4.82,4.67,0.15,3.212
2014-09-30,2014-10-15,5.21,4.66,0.55,11.8026
2014-06-30,2014-07-16,4.89,4.46,0.43,9.6413
2014-03-31,2014-04-17,4.43,4.11,0.32,7.7859
2013-12-31,2014-01-16,4.92,4.33,0.59,13.6259
2013-09-30,2013-10-16,3.88,3.88,0,0
2013-06-30,2013-07-18,4.15,3.82,0.33,8.6387
2013-03-31,2013-04-16,3.65,3.58,0.07,1.9553
2012-12-31,2013-01-17,3.96,3.73,0.23,6.1662
2012-09-30,2012-10-17,3.47,3.32,0.15,4.5181
2012-06-30,2012-07-18,3.1,3.01,0.09,2.99
2012-03-31,2012-04-18,3.16,3.04,0.12,3.9474
2011-12-31,2012-01-19,3.06,2.99,0.07,2.3411
2011-09-30,2011-10-19,2.83,2.63,0.2,7.6046
2011-06-30,2011-07-20,3,2.88,0.12,4.1667
2011-03-31,2011-04-21,2.96,2.77,0.19,6.8592
2010-12-31,2011-01-25,3.42,2.9,0.52,17.931
2010-09-30,2010-10-20,2.75,2.46,0.29,11.7886
2010-06-30,2010-07-21,2.37,2.29,0.08,3.4934
2010-03-31,2010-04-26,2.4,2.45,-0.05,-2.0408
2009-12-31,2010-01-27,2.39,2.1,0.29,13.8095
2009-09-30,2009-10-20,2.1,1.93,0.17,8.8083
