fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2009-06-30,2009-07-21,1.75,1.58,0.17,10.7595
2009-03-31,2009-04-21,0.81,0.81,0,0
2008-12-31,2009-01-21,0.68,0.99,-0.31,-31.3131
2008-09-30,2008-10-21,1.71,1.88,-0.17,-9.0426
2008-06-30,2008-07-17,2.14,1.97,0.17,8.6294
2008-03-31,2008-04-16,1.9,2,-0.1,-5
2007-12-31,2008-01-17,2.52,2.15,0.37,17.2093
2007-09-30,2007-10-17,2.29,1.91,0.38,19.8953
2007-06-30,2007-07-18,1.8,1.68,0.12,7.1429
2007-03-31,2007-04-19,1.59,1.62,-0.03,-1.8519
2006-12-31,2007-01-23,1.61,1.54,0.07,4.5455
2006-09-30,2006-10-30,1.06,1.15,-0.09,-7.8261
2006-06-30,2006-07-18,1.19,1.17,0.02,1.7094
2006-03-31,2006-04-19,1.23,1.12,0.11,9.8214
2005-12-31,2006-01-19,1.21,1.06,0.15,14.1509
2005-09-30,2005-10-19,1.03,0.97,0.06,6.1856
2005-06-30,2005-07-19,0.91,0.9,0.01,1.1111
2005-03-31,2005-04-19,0.89,0.81,0.08,9.8765
2004-12-31,2005-01-19,0.75,0.72,0.03,4.1667
2004-09-30,2004-10-18,0.56,0.56,0,0
2004-06-30,2004-07-20,0.71,0.7,0.01,1.4286
2004-03-31,2004-04-20,0.71,0.75,-0.04,-5.3333
2003-12-31,2004-01-21,0.63,0.63,0,0
2003-09-30,2003-10-15,0.61,0.6,0.01,1.6667
2003-06-30,2003-07-15,0.58,0.57,0.01,1.7544
2003-03-31,2003-04-15,0.54,0.54,0,0
2002-12-31,2003-01-15,0.52,0.51,0.01,1.9608
2002-09-30,2002-10-11,0.51,0.51,0,0
2002-06-30,2002-07-12,0.53,0.49,0.04,8.1633
2002-03-31,2002-04-12,0.48,0.46,0.02,4.3478
2001-12-31,2002-01-15,0.44,0.43,0.01,2.3256
2001-09-30,2001-10-16,0.42,0.41,0.01,2.439
2001-06-30,2001-07-11,0.4,0.4,0,0
2001-03-31,2001-04-12,0.39,0.38,0.01,2.6316
2000-12-31,2001-01-16,0.38,0.35,0.03,8.5714
2000-09-30,2000-10-12,0.35,0.33,0.02,6.0606
2000-06-30,2000-07-12,0.32,0.32,0,0
2000-03-31,2000-04-11,0.3,0.29,0.01,3.4483
1999-12-31,2000-01-13,0.27,0.26,0.01,3.8462
