fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-06-30,2023-08-08,-0.13,-0.07,-0.06,-85.7143
2023-03-31,2023-05-10,-0.05,-0.08,0.03,37.5
2022-12-31,2023-03-16,-0.53,-0.16,-0.37,-231.25
2022-09-30,2022-11-08,-0.65,-0.35,-0.3,-85.7143
2022-06-30,2022-08-08,-2.28,-0.25,-2.03,-812
2022-03-31,2022-05-04,-0.13,0.23,-0.36,-156.5217
2021-12-31,2022-03-01,0.1,0.34,-0.24,-70.5882
2021-09-30,2021-11-10,-0.22,0.43,-0.65,-151.1628
2021-06-30,2021-08-13,-1.09,0.16,-1.25,-781.25
2021-03-31,2021-05-10,0.06,0.02,0.04,200
2020-12-31,2021-03-16,-0.08,-0.01,-0.07,-700
2020-09-30,2020-11-12,-0.06,None,None,None
2020-06-30,2020-08-14,-8.02,None,None,None
2020-03-31,2020-05-14,-8.02,None,None,None
2019-12-31,2020-03-24,-8.02,None,None,None
2019-09-30,2019-11-08,-8.02,None,None,None
2019-06-30,2019-08-01,-8.02,None,None,None
2019-03-31,2019-05-10,-8.02,None,None,None
2018-12-31,2019-03-25,-2.01,1.92,-3.93,-204.6875
2018-09-30,2018-11-13,-0.24,-0.04,-0.2,-500
2018-06-30,2018-08-13,-2.01,-0.08,-1.93,-2412.5
2018-03-31,2018-04-16,-2.01,-0.24,-1.77,-737.5
2017-09-30,2017-11-20,-0.92,None,None,None
2017-06-30,2017-08-14,-1.6,-2.24,0.64,28.5714
2017-03-31,2017-05-15,-3.04,-2.4,-0.64,-26.6667
2016-12-31,2017-03-30,-27.84,-4.32,-23.52,-544.4444
2016-09-30,2016-11-14,-6.72,-3.92,-2.8,-71.4286
2016-06-30,2016-08-15,7.84,7.92,-0.08,-1.0101
2016-03-31,2016-05-12,-4.16,-3.84,-0.32,-8.3333
2015-12-31,2016-03-30,-4.32,-5.28,0.96,18.1818
2015-09-30,2015-11-16,-3.36,-4.53,1.17,25.8278
2015-06-30,2015-08-14,-6.88,-5.17,-1.71,-33.0754
2015-03-31,2015-05-14,-5.44,-1.6,-3.84,-240
2014-12-31,2015-03-26,-8.8,-1.5,-7.3,-486.6667
2014-09-30,2014-11-12,4.16,-1.47,5.63,382.9932
2014-06-30,2014-08-14,1.68,-1.84,3.52,191.3043
2014-03-31,2014-05-28,-0.4104,None,None,None
2013-12-31,2014-02-26,-1.68,None,None,None
2013-09-30,2013-09-30,-1.4313,None,None,None
2013-06-30,2013-06-30,-1.526,None,None,None
2013-03-31,2013-03-31,-1.3827,None,None,None
2012-12-31,2012-12-31,-1.402,None,None,None
2012-09-30,2012-09-30,-5.8114,None,None,None
2012-06-30,2012-06-30,-3.9978,None,None,None
2012-03-31,2012-03-31,-9.3581,None,None,None
